From,To,Route,BusID,BusNAMe,Time,Fare
Dhaka,Ctg,1,011SK,Sky Line,8:00AM,700
Dhaka,Khulna,4,041SA,Saudia Paribahan,7:00AM,400
Dhaka,Sylhet,2,021SR,SR Travels,9:00AM,500
Dhaka,Ctg,1,012SK,Sky Line,11:00AM,700
Dhaka,Barishal,6,061SP,Saudia Paribahan,1:00PM,900
Dhaka,comilla,2,022EN,ENA,10:00AM,200
Khulna,Dhaka,7,071EN,ENA,11:00AM,400
Dhaka,Ctg,1,013SK,Sky Line,1:00PM,700
Dhaka,Sylhet,2,023EA,Eagle Paribahan,11:00AM,500
Dhaka,Khulna,3,031EA,Eagle Paribahan,8:00AM,300
Dhaka,Rajshahi,5,051DH,Dhaka Express,5:00PM,600
Dhaka,Comilla,8,081AC,AC DElux,6:00AM,250
Dhaka,Khulna,3,032HA,Hanif,10:00AM,400
Dhaka,Barishal,1,014GR,Green Line,2:30PM,900
Dhaka,Barishal,2,024ST,Star Line,3:00PM,800
Barishal,Dhaka,3,033GR,Green Line,12:00PM,850
Ctg,Dhaka,7,072RO,Royal Coach,3:00PM,700
Comilla,Dhaka,8,082NT,National Travels,10:00AM,200
Ctg,Dhaka,1,015HA,Hanif,4:00PM,800
Dhaka,comilla,8,083EN,ENA,12:00PM,200
Dhaka,Ctg,1,014SL,Start Line,10:00PM,700
Dhaka,Sylhet,4,042SA,Sky Line,5:00PM,400
Dhaka,Barishal,3,034SE,Sealine,4:00PM,800
Dhaka,Ctg,1,016PO,Porjotok,7:00PM,600
Dhaka,Khulna,2,025GR,Green Line,7:00PM,500
Dhaka,Khulna,7,073MO,Mohanogor,5:00PM,400
Khulna,Dhaka,8,084EN,Padma Enterprise,8:00PM,450
Dhaka,Khulna,5,053DE,Dhaka Express,11:00PM,750
Ctg,Dhaka,1,017DH,Dhaka Express,8:00PM,780
Dhaka,Ctg,1,085EN,Dhaka Express,7:00PM,700
Dhaka,Ctg,1,074DH,Dhaka Express,9:00PM,700
Dhaka,Sylhet,2,026GR,Green Line,8:00PM,700
Dhaka,Sylhet,6,062GR,Green Line,3:00PM,500
Dhaka,Ctg,1,018HA,Hanif,11:00AM,900
Dhaka,Gazipur,13,0131GP,Gazipur Pa,8:00AM,100
Dinajpur,Dhaka,13,0131SC,Silkcity,7:00AM,700
Dhaka,Narayanganj,18,0181SA,Salsabil,12:00AM,50
Dhaka,Ctg,1,019SK,Sky Line,9:00PM,700
